cultivo,Fuertemente ondulado,Ligeramente ondulado,Moderadamente ondulado,Ondulado,Ondulado y pendiente,Pendiente,Pendiente fuerte,Pendiente leve,Pendiente moderada,Plano,Plano y ondulado,Plano y pendiente
Aguacate,0,0.0443,0.154105,0.146126,0.030023,0.227168,0.010708,0.034012,0.232207,0.108755,0.009448,0.003149
Arroz,0,0.016269,0.03073,0.012292,0.003977,3.62e-4,0,0.013377,0.036515,0.789226,0.090745,0.006508
Cacao,5.92e-4,0.051811,0.163821,0.068588,0.014507,0.113885,0.00977,0.029113,0.193822,0.342248,0.009375,0.002467
Café,0.002465,0.037427,0.133348,0.160914,0.047512,0.174137,0.043926,0.057149,0.276109,0.057149,0.005155,0.004706
Caña Panelera,7.3e-4,0.013632,0.036514,0.367575,0.002191,0.34372,9.74e-4,0.006573,0.055015,0.167478,0.004869,7.3e-4
Caucho,0,0.015043,0.14255,0.069484,7.16e-4,0.011461,0.006447,0.062321,0.06447,0.589542,0.020057,0.017908
Maíz,0,0.015755,0.177243,0.044639,0.011816,0.013129,0.00919,0.025383,0.049015,0.611816,0.020131,0.021882
Pasto Kikuyo,0.001361,0.02585,0.095918,0.35102,0.052381,0.138776,0.002721,0.007483,0.048299,0.253741,0.019728,0.002721
Pastos,9.56e-4,0.049733,0.140033,0.146091,0.014824,0.087511,0.004224,0.012752,0.114768,0.380569,0.017933,0.030605
Plátano,8e-4,0.011995,0.107957,0.07597,0.046381,0.056777,0.011196,0.031987,0.162335,0.47541,0.015594,0.003599
