dimension,dimension_num,valor_propio,porcentaje_inercia,porcentaje_acumulado
dim 1,1,0.21273060770826366,58.9272737148289,58.9272737148289
dim 2,2,0.09096709255978916,25.198267518062668,84.12554123289156
dim 3,3,0.023546401230832317,6.52245224735726,90.64799348024883
dim 4,4,0.01577222853102001,4.368973688143825,95.01696716839265
dim 5,5,0.008464132634286494,2.344600365092837,97.36156753348548
dim 6,6,0.005176731139768574,1.4339763144923836,98.79554384797787
dim 7,7,0.0017313720702404123,0.47959735077324994,99.27514119875113
dim 8,8,0.0016580604129361883,0.4592897131324163,99.73443091188354
dim 9,9,9.587186024750045e-4,0.26556908811645474,100
